asin,image,overall,reviewText,reviewTime,reviewerID,reviewerName,style,summary,unixReviewTime,verified,vote,Category,text
B00006L9LC,,5,These are the best perms!  I only wish we could still buy them.  The foam is so much nicer to work with and Ogilvie is a wonderful product.,"08 16, 2014",ABCIDPOKCXJOB,Linda Alana,{'Size:': ' 354'},These are the best perms! I only wish we could still buy ...,1408147200,TRUE,,All_Beauty,best perm wish could still buy foam much nicer work ogilvie wonderful product
B0009RF9DW,,5,Amazing product!,"01 25, 2016",A2C114BZC4OO6A,Megha Kapoor,{'Size:': ' 228'},Five Stars,1453680000,TRUE,,All_Beauty,amazing product
B00006L9LC,,5,thanks,"06 17, 2017",A309W2EPFGXK7P,raisa poltun,{'Size:': ' 57'},Five Stars,1497657600,TRUE,,All_Beauty,thanks
B00L1I1VMG,,5,"Great product. Will take a few weeks to see how it works, but I have sensitive teeth, and it hasn't made them worse, so fingers crossed. YMMV, of course.","10 2, 2014",A173YMJ9XFVRSY,Amazon Customer,{'Size:': ' 6 Strips'},Great product,1412208000,FALSE,,All_Beauty,great product take week see work sensitive teeth make bad finger cross ymmv course
B000PKKAGO,,5,"I used to wonder what caused redness and skin irritation every time I shaved. When it started for me I tried switching to environmentally friendly shaving cream, then I changed my shaving blades, then I tried changing my aftershave, but nothing helped. Regardless of what I did the irritation always came back.

I think I finally found the answer after I started using the new Philips Norelco drive-shave system. First, let me sing a praise for its smooth design and ingenious way of reminding me when I need to clean the blades (a cool blue image of a water faucet appears on the handle immediately after each shave) and how many minutes of battery life remain (cool blue large numbers appear after every shave as a reminder). As far as I am concerned these are the two main things I need to know so that I can get the job done.  Next, let share with you how wonderful I feel after each shave. The benefits of dry shaving prevented my skin from being exposed to the sharp blades and water, which in my opinion are solely responsible for the irritation of my skin.

If I could recommend one minor improvement, it would be to make the system's blades sensitive enough to be able to remove even the smallest or toughest hairs on my neck. I find myself having to reapply some circulating effort around the same areas every time until I get all the hairs out of the way. Still, this is a small price to pay considering the fact that I am pain and embracement free after each shave. A great gift idea.","12 11, 2007",A28N2AWOVO2PB,Simon Cleveland,,End of all irritation,1197331200,FALSE,,All_Beauty,use wonder cause redness skin irritation every time shave start try switch environmentally friendly shave cream change shaving blade try change aftershave nothing help regardless irritation always come think finally find answer start use new philip norelco system first let sing praise smooth design ingenious way remind need clean blade cool blue image water faucet appear handle immediately shave many minute battery life remain cool blue large number appear every shave reminder far concern two main thing need know get job next let share wonderful feel shave benefit dry shaving prevent skin expose sharp blade water opinion solely responsible irritation could recommend one minor improvement would make system blade sensitive enough able remove even small tough hair neck find reapply circulate effort around area every time get hair way still small price pay consider fact pain embracement free shave great gift idea
B0009RF9DW,,5,"This is a delicious luxury that I have been enjoying for many years. There is no other aroma like it. Makes me feel like a pasha, and want to break out my safari hat. Thanks to Amazon I no longer have trouble finding it. A dime sized dollop goes a long way, so even the smaller container lasts quite a long time.","11 2, 2016",AMFBQ5BEYWC5T,Amazon Customer,{'Size:': ' 8'},My favorite shower gel.,1478044800,TRUE,,All_Beauty,delicious luxury enjoy many year aroma like make feel like pasha want break safari hat thanks amazon longer trouble find dime size dollop go long way even small container last quite long time
B00006L9LC,,5,Great product... just what I wanted.  Works great and very stylish.,"01 16, 2017",ASWLL1VJA7WOG,Samuel Sneed,{'Size:': ' 49'},Five Stars,1484524800,TRUE,,All_Beauty,great product want work great stylish
B0009RF9DW,,5,Smells wonderful and lathers nicely.  Like all Andalou products you know its good for your skin and works well too. I purchase many skin products from this company and like the quality.,"10 15, 2016",AV10T680T0UWB,Kindle Customer,{'Size:': ' 74'},The lavender & thyme are a great combo,1476489600,TRUE,,All_Beauty,smell wonderful lather nicely like andalou product know good skin work well purchase many skin product company like quality
B00W259T7G,,5,"Excellent. Milled soap is something I grew up with and still enjoy immensely. The price might initially seem high but these bars of soap last much longer than average non milled soap. Additionally, these are non irritating thanks to what it does NOT contain - no paraben or other harsh toxic chemicals. No animal testing is a must. This fragrance is light and won't overwhelm or linger - leaves skin feeling clean yet smooth -not sticky or with any type of film. I'd rate this as a slightly more earthy or masculine type fragrance - less floral. Very pleasing.","09 26, 2017",A19XMHRB3G4DIR,AnAmazonCustomer,"{'Size:': ' 250 Gram', 'Color:': ' Patchouli'}",Very pleasing,1506384000,FALSE,,All_Beauty,excellent mill soap something grow still enjoy immensely price might initially seem high bar soap last much long average non mill soap additionally non irritate thanks contain paraben harsh toxic chemical animal testing must fragrance light wo overwhelm linger leave skin feel clean yet smooth sticky type film rate slightly earthy masculine type fragrance less floral please
B0009RF9DW,,5,This smells so good exactly like the body lotion and spray mist. It is a soft femine fragrance not too overpowering.  I would highly recommend!,"11 11, 2013",A3JNP9PGF2DMIO,Kindle Customer,{'Size:': ' 184'},Beautiful Scent,1384128000,TRUE,,All_Beauty,smell good exactly like body lotion spray mist soft femine fragrance overpower would highly recommend
B00N2WQ2IW,,5,"This would be a good conditioner to use every day as it rinses cleanly but leaves the hair shiny and easy to brush.

The floral fragrance is very noticeable but fades.","05 20, 2015",A1UQBFCERIP7VJ,Margaret P.,,Good conditioner,1432080000,FALSE,,All_Beauty,would good conditioner use every day rinse cleanly leave hair shiny easy floral fragrance noticeable fade
B0013NB7DW,,5,The best pre-shave juice ever! This lotion has been around forever and nobody has ever improved on it.,"01 24, 2015",AFXRO7K3ZZ0PX,JoeBotts,{'Size:': ' 7 Ounce'},The best ever,1422057600,TRUE,,All_Beauty,best juice ever lotion around forever nobody ever improve
B00006L9LC,,1,Arrived opened  and leaking all over the box.  Tried shampoo but didn't help at all.  Still so itchy.,"02 21, 2018",A27PPA3O7PX0OH,Kayla,{'Size:': ' Small'},Two Stars,1519171200,TRUE,,All_Beauty,arrive open leak box tried shampoo help still itchy
B0009RF9DW,,5,I love the fresh smell of Dial Mountain Fresh and also that it promotes Antibacterial Wash.  Great Product.  It arrived on time and was as described.,"11 19, 2015",A21YAPFNXKFIUC,Blue Hornet,{'Size:': ' 235'},Great Product,1447891200,TRUE,,All_Beauty,love fresh smell dial mountain fresh also promote antibacterial great product arrive time described
