file_name,predict,predictor_type,layers,nodes,activation,optimizer,loss_function,epochs,batch_size,weighted,loss,accuracy
1574409604.pkl,rating,log_regression,,,,,,,,False,,0.6575061525840853
1574409631.pkl,rating,log_regression,,,,,,,,True,,0.6099261689909762
1574409738.h5,rating,neural_net,1.0,2.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3500236490889589,0.8631665706634521
1574409793.h5,rating,neural_net,1.0,4.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3507692386519234,0.8618539571762085
1574409849.h5,rating,neural_net,1.0,8.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3508646452739847,0.8616900444030762
1574409907.h5,rating,neural_net,1.0,16.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3531237537250644,0.8621820211410522
1574409965.h5,rating,neural_net,1.0,32.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.35863140259637905,0.859228789806366
1574410024.h5,rating,neural_net,2.0,2.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3494519436085586,0.8631665706634521
1574410083.h5,rating,neural_net,2.0,4.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3453399380080713,0.8631665706634521
1574410148.h5,rating,neural_net,2.0,8.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3496929753550357,0.8619359731674194
1574410211.h5,rating,neural_net,2.0,16.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.35239247458209944,0.8568498492240906
1574410276.h5,rating,neural_net,2.0,32.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3708781619068049,0.8597210049629211
1574410340.h5,rating,neural_net,3.0,2.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.34710638338762584,0.8631665706634521
1574410404.h5,rating,neural_net,3.0,4.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.34768211242603025,0.8616900444030762
1574410470.h5,rating,neural_net,3.0,8.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3479989233859941,0.8617719411849976
1574410535.h5,rating,neural_net,3.0,16.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3521189758091114,0.858162522315979
1574410602.h5,rating,neural_net,3.0,32.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,False,0.3750126617819291,0.8474981188774109
1574410756.h5,rating,neural_net,1.0,2.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,True,0.5028605760366238,0.7999995350837708
1574410819.h5,rating,neural_net,1.0,4.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,True,0.5000059894111138,0.7999995350837708
1574410875.h5,rating,neural_net,1.0,8.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,True,0.5038247789341079,0.7976208925247192
1574410930.h5,rating,neural_net,1.0,16.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,True,0.4928802582599571,0.7960625290870667
1574410984.h5,rating,neural_net,1.0,32.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,True,0.4963933209154428,0.7884331941604614
1574411043.h5,rating,neural_net,2.0,2.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,True,0.5011239081156654,0.7999995350837708
1574411101.h5,rating,neural_net,2.0,4.0,sigmoid/sigmoid,adam,binary_crossentropy,50.0,32.0,True,0.4965581753099425,0.7999995350837708
